date;usd_ars_sell
2016-02-29;15.9
2016-03-01;15.95
2016-03-02;15.95
2016-03-03;15.5
2016-03-07;15.5
2016-03-08;15.6
2016-03-09;15.6
2016-03-10;15.6
2016-03-14;15
2016-03-15;17
2016-03-16;14
2016-03-17;15.1
2016-03-18;14.8
2016-03-29;14.9
2016-03-30;14.8
2016-03-31;14.8
2016-04-04;15
2016-04-05;10
2016-04-06;14.68
2016-04-07;14.7
2016-04-08;14.6
2016-04-11;14.6
2016-04-12;14.7
2016-04-13;14.6
2016-04-14;15
2016-04-15;14.4
2016-04-18;16
2016-04-19;16
2016-04-20;18
2016-04-21;14.5
2016-04-22;14.6
2016-04-25;14.5
2016-04-26;14.5
2016-04-27;14.4
2016-04-28;14.4
2016-04-29;14.5
2016-05-02;14.5
2016-05-03;14.4
2016-05-04;14.4
2016-05-05;14.4
2016-05-06;14.4
2016-05-09;14.4
2016-05-10;14.4
2016-05-11;14.4
2016-05-12;14.4
2016-05-13;14.4
2016-05-16;14.4
2016-05-17;14.3
2016-05-18;14.3
2016-05-19;14.3
2016-05-20;14.3
2016-05-23;14.2
2016-05-24;14.2
2016-05-26;14.2
2016-05-27;14.2
2016-05-30;14.2
2016-05-31;14.2
2016-06-02;14.1
2016-06-03;14.1
2016-06-08;14.1
2016-06-13;14
2016-06-14;13.75
2016-06-15;14
2016-06-16;13.92
2016-06-17;13.92
2016-06-21;13.97
2016-06-22;14.07
2016-06-23;14.45
2016-06-24;14.93
2016-06-27;15.3
2016-06-28;14.9
2016-06-29;14.98
2016-06-30;15.04
2016-07-01;15
2016-07-04;15.06
2016-07-05;14.8
2016-07-06;14.7
2016-07-07;14.73
2016-07-11;14.64
2016-07-12;14.56
2016-07-13;14.57
2016-07-15;14.95
2016-07-18;15.15
2016-07-19;15
2016-07-20;15.07
2016-07-21;15
2016-07-22;14.91
2016-07-27;15
2016-07-28;15.4
2016-07-29;15.01
2016-08-01;14.93
2016-08-02;14.85
2016-08-03;14.87
2016-08-04;14.85
2016-08-05;14.79
2016-08-08;14.67
2016-08-09;14.77
2016-08-10;14.67
2016-08-11;14.66
2016-08-12;14.67
2016-08-16;14.67
2016-08-17;14.78
2016-08-18;14.94
2016-08-19;14.92
2016-08-22;14.81
2016-08-23;14.84
2016-08-24;14.86
2016-08-29;15.1
2016-08-31;14.93
2016-09-01;14.9
2016-09-02;14.99
2016-09-05;15.02
2016-09-06;15.02
2016-09-07;15.05
2016-09-08;15.07
2016-09-09;14.98
2016-09-12;14.95
2016-09-13;15
2016-09-14;15.03
2016-09-15;15.07
2016-09-16;15.13
2016-09-19;15.15
2016-09-20;15.14
2016-09-22;15.16
2016-09-23;15.17
2016-09-27;15.28
2016-09-28;15.39
2016-09-29;15.38
2016-09-30;15.31
2016-10-03;15.2
2016-10-04;15.17
2016-10-05;15.19
2016-10-06;15.21
2016-10-11;15.17
2016-10-12;15.07
2016-10-13;15.13
2016-10-14;15.18
2016-10-17;15.2
2016-10-18;15.21
2016-10-19;15.2
2016-10-20;15.16
2016-10-21;15.14
2016-10-24;15.15
2016-10-25;15.23
2016-10-26;15.21
2016-10-27;15.17
2016-10-28;15.19
2016-10-31;15.15
2016-11-01;15.08
2016-11-02;15.11
2016-11-03;15.1
2016-11-04;15.06
2016-11-07;15.05
2016-11-08;14.93
2016-11-09;14.92
2016-11-10;15.03
2016-11-11;15.37
2016-11-14;15.65
2016-11-15;15.5
2016-11-16;15.5
2016-11-17;15.48
2016-11-18;15.47
2016-11-21;15.39
2016-11-22;15.45
2016-11-24;15.54
2016-11-25;15.55
2016-11-29;15.7
2016-12-01;15.84
2016-12-02;15.94
2016-12-05;15.87
2016-12-06;15.92
2016-12-13;15.97
2016-12-14;15.97
2016-12-15;15.96
2016-12-19;15.84
2016-12-20;15.86
2016-12-21;15.79
2016-12-22;15.73
2016-12-26;15.54
2016-12-27;15.55
2016-12-28;15.75
2016-12-29;15.93
2016-12-30;15.89
2017-01-02;15.92
2017-01-03;15.95
2017-01-05;15.96
2017-01-09;15.89
2017-01-10;15.85
2017-01-11;15.85
2017-01-12;15.81
2017-01-13;15.85
2017-01-16;15.88
2017-01-17;15.91
2017-01-18;15.98
2017-01-19;15.9
2017-01-23;15.94
2017-01-24;15.93
2017-01-25;15.96
2017-01-26;15.92
2017-01-27;15.9
2017-01-30;15.92
2017-01-31;15.9
2017-02-01;15.8
2017-02-02;15.68
2017-02-03;15.62
2017-02-06;15.78
2017-02-07;15.68
2017-02-08;15.68
2017-02-09;15.61
2017-02-10;15.54
2017-02-13;15.49
2017-02-14;15.47
2017-02-15;15.36
2017-02-16;15.44
2017-02-17;15.68
2017-02-20;15.69
2017-02-21;15.61
2017-02-22;15.57
2017-02-23;15.5
2017-02-24;15.48
2017-03-01;15.42
2017-03-02;15.4
2017-03-03;15.45
2017-03-06;15.48
2017-03-08;15.65
2017-03-09;15.53
2017-03-10;15.48
2017-03-13;15.54
2017-03-14;15.54
2017-03-15;15.57
2017-03-16;15.53
2017-03-17;15.56
2017-03-20;15.63
2017-03-21;15.6
2017-03-22;15.64
2017-03-27;15.57
2017-03-28;15.54
2017-03-29;15.43
2017-03-30;15.41
2017-03-31;15.39
2017-04-03;15.4
2017-04-04;15.35
2017-04-05;15.36
2017-04-06;15.39
2017-04-10;15.21
2017-04-11;15.27
2017-04-12;15.19
2017-04-17;15.2
2017-04-18;15.3
2017-04-19;15.4
2017-04-20;15.39
2017-04-21;15.49
2017-04-24;15.39
2017-04-25;15.42
2017-04-26;15.49
2017-04-27;15.42
2017-04-28;15.4
2017-05-02;15.3
2017-05-03;15.29
2017-05-04;15.31
2017-05-08;15.47
2017-05-09;15.53
2017-05-10;15.51
2017-05-11;15.44
2017-05-12;15.44
2017-05-15;15.53
2017-05-16;15.58
2017-05-18;15.61
2017-05-19;16
2017-05-20;16.05
2017-05-23;16.19
2017-05-24;16.09
2017-05-25;16.09
2017-05-27;16.01
2017-05-30;16.03
2017-05-31;16.15
2017-06-01;16.01
2017-06-02;16.06
2017-06-03;16
2017-06-06;16
2017-06-07;16.01
2017-06-08;15.99
2017-06-09;15.9
2017-06-10;15.92
2017-06-13;15.93
2017-06-14;15.89
2017-06-15;15.88
2017-06-16;15.98
2017-06-17;16.04
2017-06-20;16.15
2017-06-22;16.22
2017-06-23;16.15
2017-06-24;16.18
2017-06-27;16.32
2017-06-28;16.4
2017-06-29;16.45
2017-06-30;16.5
2017-07-01;16.63
2017-07-04;16.8
2017-07-05;16.93
2017-07-06;17.14
2017-07-07;17.08
2017-07-08;16.98
2017-07-11;17
2017-07-12;17
2017-07-13;16.95
2017-07-14;16.95
2017-07-15;16.85
2017-07-18;16.93
2017-07-19;17.2
2017-07-20;17.15
2017-07-21;17.2
2017-07-22;17.42
2017-07-25;17.43
2017-07-26;17.48
2017-07-27;17.5
2017-07-28;17.64
2017-07-29;17.79
2017-07-31;17.64
2017-08-01;17.64
2017-08-02;17.58
2017-08-03;17.6
2017-08-04;17.67
2017-08-05;17.67
2017-08-08;17.7
2017-08-09;17.72
2017-08-10;17.7
2017-08-11;17.71
2017-08-12;17.71
2017-08-15;17.13
2017-08-16;17.07
2017-08-17;17.21
2017-08-18;17.36
2017-08-19;17.27
2017-08-23;17.21
2017-08-24;17.23
2017-08-25;17.21
2017-08-26;17.22
2017-08-29;17.23
2017-08-30;17.4
2017-08-31;17.39
2017-09-02;17.2
2017-09-05;17.23
2017-09-06;17.24
2017-09-07;17.22
2017-09-08;17.2
2017-09-09;17.2
2017-09-12;17.15
2017-09-13;17.07
2017-09-14;17.07
2017-09-15;16.99
2017-09-16;16.98
2017-09-18;17.12
2017-09-20;17.14
2017-09-21;17.19
2017-09-22;17.27
2017-09-23;17.31
2017-09-26;17.51
2017-09-27;17.58
2017-09-29;17.49
2017-09-30;17.31
2017-10-03;17.42
2017-10-04;17.42
2017-10-05;17.36
2017-10-06;17.41
2017-10-07;17.45
2017-10-10;17.46
2017-10-11;17.43
